路線別,車站名稱,電梯位置
淡水信義線,大安森林公園,"1.出口電梯：
出口4（信義路3段南側、東側光塔）
出口5（信義路3段南側、近建國南路2段）
出口6（信義路3段北側，仁愛路3段24巷東側）
2.月臺電梯：大廳層中央"
淡水信義線,大安,"1.出口電梯：出口4（信義路4段與復興南路2段口東南隅）
2.月臺電梯：
大廳層東側
大廳層西側"
淡水信義線,信義安和,"1.出口電梯：出口5（信義路4段239巷口東側）
2.月臺電梯：大廳層中央"
淡水信義線,台北101/世貿,"1.出口電梯：
出口3（信義路5段南側）
出口4 （台北101大樓地下一樓廣場）
出口5（信義路5段北側、市府路西側）
2.月臺電梯：大廳層中央"
淡水信義線,象山,"1.出口電梯：
出口1（信義路5段與松勇路口）
出口2（中強公園）
2.月臺電梯：大廳層中央"
松山新店線,小碧潭,"出口電梯：
出口1（臨環河路）
出口2（臨中央路）"
松山新店線,新店,"1.月臺電梯：大廳層北側
2.停車場電梯：大廳層西側出口（臨新店路）"
松山新店線,新店區公所,月臺電梯：出口1無障礙閘門後方、二月臺中央
松山新店線,七張,月臺電梯：出口1無障礙閘門旁、二月臺中央
松山新店線,大坪林,"1.出口電梯：出口3（臨民權路北側）
2.月臺電梯：大廳層北側"
松山新店線,景美,"1.出口電梯：出口1（羅斯福路6段，郵局旁）
2.月臺電梯：大廳層南側"
松山新店線,萬隆,"1.出口電梯：出口4（臨羅斯福路5段212巷口）
2.月臺電梯：大廳層北側"
松山新店線,公館,"1.出口電梯：
出口1（羅斯福路4段）
出口2（臨舟山路）
2.月臺電梯：大廳層南側"
松山新店線,台電大樓,"1.出口電梯：出口5（臨羅斯福路和師大路交叉口）
2.月臺電梯：大廳層北側"
松山新店線,古亭,"1.出口電梯：出口1（羅斯福路與同安街口）
2.月臺電梯：大廳層南側"
松山新店線,中正紀念堂,"1.出口電梯：
出口1（羅斯福路、南海路口）
出口5（愛國東路、中山南路口）
2.月臺電梯：
大廳層南側
大廳層北側"
松山新店線,小南門,"1.出口電梯：出口3及出口4中央（愛國西路與博愛路口東南隅）
2.月臺電梯：大廳層東側"
松山新店線,西門,"1.出口電梯：
出口4（衡陽路）
出口6（漢中街與成都路口）
2.月臺電梯：大廳層中央"
松山新店線,北門,"1.出口電梯：
出口2（塔城街與鄭州路口東南隅，於塔城街上）
出口3（塔城街與鄭州路口西南隅，於鄭州路上）
2.月臺電梯：
大廳層東側
大廳層西側"
松山新店線,中山,"1.出口電梯：
出口4（南京西路北側之淡水線線形公園內）
出口5（南京西路與赤峰街交叉東北隅）
出口6（南京西路與赤峰街交叉東南隅）
2.月臺電梯：
淡水信義線：大廳層中央
松山新店線：大廳層東側"
松山新店線,松江南京,"1.出口電梯：
出口1（松江路與南京東路口西南隅，於南京東路上）
出口2（松江路與南京東路口西南隅，於松江路上）
出口8（松江路與南京東路口西北隅，於松江路上）
2.月臺電梯：
中和新蘆線：大廳層南側、北側各一臺"
松山新店線,南京復興,"1.出口電梯：
出口1（臨遼寧街155巷口）
出口2（南京東路3段與遼寧街口西南隅，遼寧街上）
出口7（南京東路3段與復興北路交叉口，兄弟飯店旁）
2.月臺電梯：
文湖線：月臺層北側
松山新店線：月臺層中央及東側各一臺
3.轉乘電梯：往文湖線出口7轉乘通道旁"
松山新店線,台北小巨蛋,"1.出口電梯：
出口1（臨南京東路4段53巷）
出口2（南京東路4段，台北小巨蛋與臺北體育館中間）
出口3（南京東路4段與北寧路口西南隅，北寧路上）
2.月臺電梯：大廳層中央"
松山新店線,南京三民,"1.出口電梯：
出口1（臨南京東路5段與三民路口西北隅）
出口2（臨南京東路5段與三民路口西南隅）
2.月臺電梯：大廳層中央"
松山新店線,松山,"1.出口電梯：
出口3（八德路4段與松山路口西南隅，松山區行政中心旁）
出口5（八德路4段與松山路口東北隅，松山國小旁）
2.月臺電梯：大廳層中央"
